state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Amethi,Urad,Summer,2021,2022,4026.0,1969.0,0.49,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Urad,Summer,2022,2023,1782.0,1411.0,0.79,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Wheat,Rabi,2020,2021,127185.0,493223.0,3.88,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Wheat,Rabi,2021,2022,138543.0,445416.0,3.22,tonnes,tonnes/hectare
Uttar Pradesh,Amethi,Wheat,Rabi,2022,2023,129528.0,381460.0,2.95,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Arhar/Tur,Kharif,2020,2021,509.0,426.0,0.84,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Arhar/Tur,Kharif,2021,2022,536.0,474.0,0.88,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Arhar/Tur,Kharif,2022,2023,465.0,582.0,1.25,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Bajra,Kharif,2020,2021,3316.0,2948.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Bajra,Kharif,2021,2022,3401.0,4272.0,1.26,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Bajra,Kharif,2022,2023,3624.0,4657.0,1.29,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Barley,Rabi,2020,2021,49.0,154.0,3.14,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Barley,Rabi,2021,2022,98.0,297.0,3.03,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Barley,Rabi,2022,2023,98.0,301.0,3.07,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Dry chillies,Kharif,2020,2021,45.0,40.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Dry chillies,Kharif,2021,2022,45.0,40.0,0.89,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Dry chillies,Kharif,2022,2023,55.0,51.0,0.93,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Gram,Rabi,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Kharif,2020,2021,1648.0,3865.0,2.35,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Kharif,2021,2022,2336.0,5478.0,2.35,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Kharif,2022,2023,2336.0,5707.0,2.44,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Rabi,2020,2021,21.0,56.0,2.67,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Summer,2020,2021,704.0,2036.0,2.89,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Summer,2021,2022,264.0,720.0,2.73,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Maize,Summer,2022,2023,263.0,757.0,2.88,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Masoor,Rabi,2020,2021,96.0,100.0,1.04,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Masoor,Rabi,2021,2022,128.0,97.0,0.76,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Masoor,Rabi,2022,2023,152.0,92.0,0.61,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Moong(Green Gram),Kharif,2020,2021,51.0,20.0,0.39,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Moong(Green Gram),Kharif,2022,2023,26.0,10.0,0.38,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Onion,Rabi,2020,2021,18.0,270.0,15.0,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Onion,Rabi,2022,2023,22.0,340.0,15.45,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Onion,Summer,2020,2021,3.0,49.0,16.33,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Peas & beans (Pulses),Rabi,2020,2021,68.0,75.0,1.1,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Peas & beans (Pulses),Rabi,2021,2022,330.0,1524.0,4.62,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Peas & beans (Pulses),Rabi,2022,2023,366.0,567.0,1.55,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Potato,Rabi,2020,2021,3868.0,118763.0,30.7,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Potato,Rabi,2021,2022,4288.0,122208.0,28.5,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Potato,Rabi,2022,2023,4291.0,122299.0,28.5,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rapeseed &Mustard,Rabi,2020,2021,3325.0,4268.0,1.28,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rapeseed &Mustard,Rabi,2021,2022,4308.0,5992.0,1.39,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rapeseed &Mustard,Rabi,2022,2023,3698.0,5284.0,1.43,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rice,Kharif,2020,2021,26974.0,75770.0,2.81,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rice,Kharif,2021,2022,26894.0,74227.0,2.76,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Rice,Kharif,2022,2023,28772.0,71182.0,2.47,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Sugarcane,Kharif,2020,2021,69859.0,5790000.0,82.88,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Sugarcane,Kharif,2021,2022,69253.0,5805000.0,83.82,tonnes,tonnes/hectare
