state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Ballia,Small millets,Kharif,2020,2021,10.0,7.0,0.7,tonnes,tonnes/hectare
Uttar Pradesh,Mau,Linseed,Rabi,2020,2021,2.0,1.0,0.5,tonnes,tonnes/hectare
Uttar Pradesh,Balrampur,Banana,Summer,2020,2021,1.0,55.0,55.0,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Onion,Summer,2020,2021,3.0,50.0,16.67,tonnes,tonnes/hectare
Uttar Pradesh,Mathura,Peas & beans (Pulses),Rabi,2020,2021,1.0,3.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Maharajganj,Small millets,Kharif,2020,2021,3.0,2.0,0.67,tonnes,tonnes/hectare
Uttar Pradesh,Maharajganj,Rice,Summer,2020,2021,4308.0,14923.0,3.46,tonnes,tonnes/hectare
Uttar Pradesh,Lucknow,Tobacco,Rabi,2020,2021,8.0,36.0,4.5,tonnes,tonnes/hectare
Uttar Pradesh,Lucknow,Groundnut,Kharif,2020,2021,94.0,107.0,1.14,tonnes,tonnes/hectare
Uttar Pradesh,Lalitpur,Maize,Rabi,2020,2021,4.0,11.0,2.75,tonnes,tonnes/hectare
Uttar Pradesh,Bareilly,Groundnut,Kharif,2020,2021,476.0,231.0,0.49,tonnes,tonnes/hectare
Uttar Pradesh,Basti,Groundnut,Kharif,2020,2021,1.0,1.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Kaushambi,Linseed,Rabi,2020,2021,4.0,2.0,0.5,tonnes,tonnes/hectare
Uttar Pradesh,Kaushambi,Groundnut,Kharif,2020,2021,24.0,29.0,1.21,tonnes,tonnes/hectare
Uttar Pradesh,Bijnor,Maize,Kharif,2020,2021,1.0,3.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Bijnor,Jowar,Kharif,2020,2021,2.0,3.0,1.5,tonnes,tonnes/hectare
Uttar Pradesh,Kasganj,Peas & beans (Pulses),Rabi,2020,2021,6926.0,10777.0,1.56,tonnes,tonnes/hectare
Uttar Pradesh,Bijnor,Sunflower,Summer,2020,2021,54.0,74.0,1.37,tonnes,tonnes/hectare
Uttar Pradesh,Bijnor,Rice,Summer,2020,2021,37.0,128.0,3.46,tonnes,tonnes/hectare
Uttar Pradesh,Budaun,Moong(Green Gram),Summer,2020,2021,14.0,14.0,1.0,tonnes,tonnes/hectare
Uttar Pradesh,Budaun,Rice,Summer,2020,2021,33.0,114.0,3.45,tonnes,tonnes/hectare
Uttar Pradesh,Kanpur dehat,Soyabean,Kharif,2020,2021,49.0,34.0,0.69,tonnes,tonnes/hectare
Uttar Pradesh,Kanpur dehat,Small millets,Kharif,2020,2021,6.0,4.0,0.67,tonnes,tonnes/hectare
Uttar Pradesh,Bulandshahr,Linseed,Rabi,2020,2021,2.0,1.0,0.5,tonnes,tonnes/hectare
Uttar Pradesh,Jhansi,Maize,Summer,2020,2021,1.0,3.0,3.0,tonnes,tonnes/hectare
Uttar Pradesh,Bulandshahr,Turmeric,Rabi,2020,2021,18.0,25.0,1.39,tonnes,tonnes/hectare
Uttar Pradesh,Jaunpur,Linseed,Rabi,2020,2021,2.0,1.0,0.5,tonnes,tonnes/hectare
Uttar Pradesh,Chandauli,Groundnut,Kharif,2020,2021,3.0,4.0,1.33,tonnes,tonnes/hectare
Uttar Pradesh,Chandauli,Sesamum,Kharif,2020,2021,17.0,2.0,0.12,tonnes,tonnes/hectare
